Title,Directors
Shoeshine,Vittorio De Sica
Opera,Dario Argento
The Tillman Story,Amir Bar-Lev
Dhoom 2,Sanjay Gadhvi
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,Steven Okazaki
The Man from Earth,Richard Schenkman
Lean on Pete,Andrew Haigh
Harry Brown,Daniel Barber
The Girl Who Kicked the Hornet's Nest,Daniel Alfredson
Ghost Town,David Koepp
They Call Me Jeeg,Gabriele Mainetti
Friday the 13th,Sean S. Cunningham
Sabotage,David Ayer
Pyaasa,Guru Dutt
He Loves Me‚Ä¶ He Loves Me Not,Laetitia Colombani
Birdy,Alan Parker
The Secret of Roan Inish,John Sayles
Meet John Doe,Frank Capra
Death of a Salesman,Volker Schl??ndorff
Spirits in the Forest,"Anton Corbijn,John Merizalde,Pasqual Gutierrez"
Kannathil Muthamittal,Mani Ratnam
Polytechnique,Denis Villeneuve
The King's Choice,Erik Poppe
Who Killed the Electric Car?,Chris Paine
Stuck in Love,
A Star Is Born,Bradley Cooper
Heavy Trip,"Juuso Laatio,Jukka Vidgren"
Bad Boy Bubby,Rolf de Heer
Breakdown,Jonathan Mostow
The House of the Devil,Ti West
Unsane,Steven Soderbergh
Waco: The Rules of Engagement,William Gazecki
Dead Snow 2: Red vs. Dead,Tommy Wirkola
Magic Mike,Steven Soderbergh
Colette,Wash Westmoreland
The Gospel According to Matthew,Pier Paolo Pasolini
Life According to Sam,"Sean Fine,Andrea Nix"
Draft Day,Ivan Reitman
Capitalism: A Love Story,Michael Moore
Best Worst Movie,Michael Paul Stephenson
Papillon,Michael Noer
The Battery,Jeremy Gardner
Heartstone,Gu??mundur Arnar Gu??mundsson
Don't Worry He Won't Get Far on Foot,Gus Van Sant
Dark Days,Marc Singer
Tab Hunter Confidential,Jeffrey Schwarz
Ash Is Purest White,Zhangke Jia
Paradise Lost 2: Revelations,"Joe Berlinger,Bruce Sinofsky"
4 Little Girls,Spike Lee
Jay and Silent Bob Reboot,Kevin Smith
Woody Allen: A Documentary,Robert B. Weide
Phantasm,Don Coscarelli
Dark Water,Walter Salles
Southern Comfort,Walter Hill
Becoming Astrid,Pernille Fischer Christensen
The Snow Walker,Charles Martin Smith
Braven,Lin Oeding
Sunshine Cleaning,Christine Jeffs
The Woman in Black,James Watkins
Rambo: Last Blood,Adrian Grunberg
The Strange Love of Martha Ivers,Lewis Milestone
Gaslight,George Cukor
I've Loved You So Long,Philippe Claudel
Behind the Mask: The Rise of Leslie Vernon,Scott Glosserman
These Final Hours,Zak Hilditch
The Man with the Golden Arm,Otto Preminger
Lost Soul: The Doomed Journey of Richard Stanley's ‚ÄúIsland of Dr. Moreau‚Äù,David Gregory
A Private War,Matthew Heineman
Nightmares in Red White and Blue,Andrew Monument
Transit,Christian Petzold
Fateless,Lajos Koltai
Hell House LLC,Stephen Cognetti
Last Days in Vietnam,Rory Kennedy
The Man Who Fell to Earth,Nicolas Roeg
The Monster Squad,Fred Dekker
The Barkley Marathons: The Race That Eats Its Young,"Annika Iltis,Timothy James Kane"
Passion Fish,John Sayles
7 Boxes,"Juan Carlos Maneglia,Tana Sch?©mbori"
Embrace,Taryn Brumfitt
Rosencrantz & Guildenstern Are Dead,Tom Stoppard
Emmet Otter's Jug-Band Christmas,Jim Henson
Love & Friendship,Whit Stillman
Phenomena,Dario Argento
Grey Gardens,"Ellen Hovde,Albert Maysles,David Maysles,Muffie Meyer"
Room at the Top,Jack Clayton
Salt of the Earth,Herbert J. Biberman
Macbeth,Justin Kurzel
You Only Live Once,Josh Greenbaum
Deathgasm,Jason Lei Howden
Danny Collins,Dan Fogelman
Too Big to Fail,Curtis Hanson
Bad Taste,Peter Jackson
The Naked Kiss,Samuel Fuller
Breathe,
Ballet Shoes,Sandra Goldbacher
Charlie Bartlett,Jon Poll
My Friend Dahmer,Marc Meyers
1945,Ferenc T??r??k
Welcome to Dongmakgol,Kwang-Hyun Park
The Panama Papers,Alex Winter
Explorers,Joe Dante
A Time to Live a Time to Die,Hsiao-Hsien Hou
Spider Baby,Jack Hill
Janis: Little Girl Blue,Amy Berg
To Hell and Back: The Kane Hodder Story,Derek Dennis Herbert
Fat City,John Huston
The Dressmaker,Jocelyn Moorhouse
Last Flag Flying,Richard Linklater
The Ninth Gate,Roman Polanski
A Town Called Panic,"St?©phane Aubier,Vincent Patar"
Sweet Country,Warwick Thornton
Game Change,Jay Roach
Penelope,Mark Palansky
Don't Torture a Duckling,Lucio Fulci
Igby Goes Down,Burr Steers
The Decline of Western Civilization Part II: The Metal Years,Penelope Spheeris
The Brand New Testament,Jaco Van Dormael
Ugly,Anurag Kashyap
Jeff Who Lives at Home,"Jay Duplass,Mark Duplass"
Resolution,"Justin Benson,Aaron Moorhead"
The Little Princess,"Walter Lang,William A. Seiter"
The Love Witch,Anna Biller
Ben X,Nic Balthazar
Bilal: A New Breed of Hero,"Khurram H. Alavi,Ayman Jamal"
Teddy Bear,Seth MacFarlane
The War Zone,Tim Roth
The Party,"Harry Elfont,Deborah Kaplan"
Anti Matter,Keir Burrows
Stake Land,Jim Mickle
The Babushkas of Chernobyl,"Anne Bogart,Holly Morris"
Cul-de-sac,Roman Polanski
I Dream in Another Language,Ernesto Contreras
Alive Inside,Michael Rossato-Bennett
The Gathering Storm,Richard Loncraine
The Hospital,Arthur Hiller
Broken Blossoms,D.W. Griffith
Wrinkles,Ignacio Ferreras
Like Crazy,Drake Doremus
Journey's End,Saul Dibb
Internal Affairs,Mike Figgis
Changing Lanes,Roger Michell
Longford,Tom Hooper
Nas: Time Is Illmatic,One9
Agora,Alejandro Amen?∞bar
The Dresser,Peter Yates
Caf√© Society,Woody Allen
Trees Lounge,Steve Buscemi
Sharkwater Extinction,Rob Stewart
Suburbia,Penelope Spheeris
Raising Victor Vargas,Peter Sollett
Faults,Riley Stearns
Milius,"Joey Figueroa,Zak Knutson"
City of Ghosts,Matt Dillon
Proof,
The First Time,Jonathan Kasdan
The Mountain II,Alper Caglar
Danger Close,Kriv Stenders
Back Roads,Alex Pettyfer
Troop Zero,"Bert,Bertie"
Salmon Fishing in the Yemen,Lasse Hallstr??m
Street Fight,Ralph Bakshi
Battle of Britain,Guy Hamilton
Titli,Kanu Behl
Mr. Six,Hu Guan
Blood and Black Lace,Mario Bava
Jin-Roh: The Wolf Brigade,Hiroyuki Okiura
The Tuskegee Airmen,Robert Markowitz
She's Beautiful When She's Angry,Mary Dore
Maidentrip,Jillian Schlesinger
The Laramie Project,Mois?©s Kaufman
The Golem: How He Came into the World,"Carl Boese,Paul Wegener"
Dilwale Dulhania Le Jayenge,Aditya Chopra
Support Your Local Sheriff,Burt Kennedy
Last Cab to Darwin,Jeremy Sims
Burn Notice: The Fall of Sam Axe,Jeffrey Donovan
The Plague Dogs,Martin Rosen
Cloudburst,Thom Fitzgerald
Valentine Road,Marta Cunningham
Wendy and Lucy,Kelly Reichardt
Rat Race,Jerry Zucker
Rivers and Tides,Thomas Riedelsheimer
Fan,Tony Scott
All the Mornings of the World,Alain Corneau
Light of My Life,Casey Affleck
The Big Combo,Joseph H. Lewis
The Beauty Inside,Jong-Yeol Baek
Beneath Hill 60,Jeremy Sims
Naked Gun 33‚Öì: The Final Insult,Peter Segal
Recount,Jay Roach
Dragonslayer,Matthew Robbins
Lawn Dogs,John Duigan
The Flowers of War,Yimou Zhang
Reefer Madness: The Movie Musical,Andy Fickman
Veteran,Seung-wan Ryoo
Mardaani,Pradeep Sarkar
Thin,Lauren Greenfield
California Split,Robert Altman
Out of Time,Carl Franklin
Tales of the Grim Sleeper,"Nick Broomfield,Barney Broomfield,Marc Hoeferlin"
Fahrenheit 11/9,Michael Moore
Gimme Danger,Jim Jarmusch
Salaam Namaste,Siddharth Anand
D.O.A.,Rudolph Mat?©
McLintock!,Andrew V. McLaglen
The Long Riders,Walter Hill
Any Day Now,
Fat Sick & Nearly Dead,"Joe Cross,Kurt Engfehr"
Kill the Irishman,Jonathan Hensleigh
A Coffee in Berlin,Jan-Ole Gerster
Penny Serenade,George Stevens
Rocket Singh: Salesman of the Year,Shimit Amin
Mr. Mom,Stan Dragoti
Gozu,Takashi Miike
The Nutty Professor,Tom Shadyac
Blood Brother,Tom Holland
The Weather Underground,"Sam Green,Bill Siegel"
The Falcon and the Snowman,John Schlesinger
We Are Still Here,Ted Geoghegan
Miss Granny,Joyce Bernal
Eye of the Needle,Richard Marquand
Avanti!,Billy Wilder
A Girl Like Her,Amy S. Weber
Cries from Syria,Evgeny Afineevsky
Trouble the Water,"Carl Deal,Tia Lessin"
Shut Up and Play the Hits,"Will Lovelace,Dylan Southern"
Still Mine,Michael McGowan
Alleluia! The Devil's Carnival,Darren Lynn Bousman
Padmaavat,Sanjay Leela Bhansali
Why We Fight,Eugene Jarecki
Bill & Ted's Bogus Journey,Peter Hewitt
Bones Brigade: An Autobiography,Stacy Peralta
The Young and Prodigious T.S. Spivet,Jean-Pierre Jeunet
Hype!,Doug Pray
Your Vice Is a Locked Room and Only I Have the Key,Sergio Martino
Sign 'o' The Times,"Prince,Albert Magnoli"
Ghosts of Abu Ghraib,Rory Kennedy
The Connection,C?©dric Jimenez
The Bodyguard,
The Birth of a Nation,D.W. Griffith
The Decline of the American Empire,Denys Arcand
Guava Island,Hiro Murai
The Kentucky Fried Movie,John Landis
The Ninth Configuration,William Peter Blatty
Chico & Rita,"Tono Errando,Javier Mariscal,Fernando Trueba"
Rewind This!,Josh Johnson
The Bride with White Hair,Ronny Yu
Fast Color,Julia Hart
An American Crime,Tommy O'Haver
Dick Tracy,Warren Beatty
Alamar,Pedro Gonz?∞lez-Rubio
Coffy,Jack Hill
Strangled,?≈rp?∞d Sopsits
Balibo,Robert Connolly
We Are Legion: The Story of the Hacktivists,Brian Knappenberger
Ashes of Time,Kar-Wai Wong
Casting By,Tom Donahue
The Little Shop of Horrors,Frank Oz
The Island,Michael Bay
Neds,Peter Mullan
The Cutting Edge,Paul Michael Glaser
Meet the Patels,"Geeta Patel,Ravi Patel"
Topkapi,Jules Dassin
F/X,Robert Mandel
Hara-Kiri: Death of a Samurai,Takashi Miike
Sui Dhaaga - Made in India,Sharat Katariya
Chuck Norris vs Communism,Ilinca Calugareanu
Climates,Nuri Bilge Ceylan
The True Cost,Andrew Morgan
Dog Pound,Kim Chapiron
Liquid Sky,Slava Tsukerman
The Hole in the Ground,Lee Cronin
Dave Made a Maze,Bill Watterson
Creepy,Kiyoshi Kurosawa
Haunters: The Art of the Scare,Jon Schnitzer
The Ghazi Attack,Sankalp Reddy
Young and Innocent,Alfred Hitchcock
The Night Eats the World,Dominique Rocher
Marlina the Murderer in Four Acts,Mouly Surya
I Capture the Castle,Tim Fywell
No No: A Dockumentary,Jeffrey Radice
Badrinath Ki Dulhania,Shashank Khaitan
Belle and Sebastian,Nicolas Vanier
White Sun,Deepak Rauniyar
What's in a Name,Elva NelsonHayes
Bully,Larry Clark
Another Country,Marek Kanievska
The Decline of Western Civilization Part III,Penelope Spheeris
The Midnight Meat Train,Ry?™hei Kitamura
The Living Dead at Manchester Morgue,Jorge Grau
Somers Town,Shane Meadows
Nothing Sacred,William A. Wellman
Aberdeen,Hans Petter Moland
Mystery Road,
10 Rillington Place,Richard Fleischer
Spring in a Small Town,Mu Fei
The Man in the Iron Mask,Randall Wallace
The Boys of St. Vincent,John N. Smith
High Life,Claire Denis
Under the Silver Lake,David Robert Mitchell
Jean-Michel Basquiat: The Radiant Child,Tamra Davis
The Farewell Party,"Tal Granit,Sharon Maymon"
Breakfast on Pluto,Neil Jordan
Give Up Tomorrow,Michael Collins
The Big Easy,Jim McBride
Double Dare,
Amal,Richie Mehta
Finders Keepers,"Bryan Carberry,Clay Tweel"
M.F.A.,Natalia Leite
After Tiller,"Martha Shane,Lana Wilson"
You're Not You,George C. Wolfe
Gideon's Army,Dawn Porter
The Rape of Europa,"Richard Berge,Bonni Cohen,Nicole Newnham"
Mr. Calzaghe,Vaughan Sivell
Wait for Your Laugh,Jason Wise
That Sugar Film,Damon Gameau
A Field in England,Ben Wheatley
Meatballs,Ivan Reitman
The Quiet Family,Jee-woon Kim
Western,Valeska Grisebach
Morvern Callar,Lynne Ramsay
Trouble Is My Business,Tom Konkle
Call Me Kuchu,"Katherine Fairfax Wright,Malika Zouhali-Worrall"
Just Eat It: A Food Waste Story,Grant Baldwin
Cockfighter,Monte Hellman
Winning: The Racing Life of Paul Newman,"Adam Carolla,Nate Adams"
Best Kept Secret,Samantha Buck
The Vikings,
The Soloist,Joe Wright
Life with Father,Michael Curtiz
Class of 1984,Mark L. Lester
On the Edge,Jonathan Kaplan
Electrick Children,Rebecca Thomas
Sleepless Night,Baran bo Odar
East Side Sushi,Anthony Lucero
The First Great Train Robbery,Michael Crichton
Conversations with Other Women,Hans Canosa
Intact,Juan Carlos Fresnadillo
Apostasy,Daniel Kokotajlo
Oedipus Rex,Pier Paolo Pasolini
Black Souls,Francesco Munzi
Way Down East,D.W. Griffith
The Violin,Francisco Vargas
Zama,Lucrecia Martel
Death of a Superhero,Ian Fitzgibbon
James White,Josh Mond
Images,Robert Altman
99 River Street,Phil Karlson
Next,Lee Tamahori
Grave Encounters,"Colin Minihan,Stuart Ortiz,The Vicious Brothers"
The Woman in Green,Roy William Neill
Taking Chance,Ross Katz
Kansas City Confidential,Phil Karlson
The Street Fighter,Shigehiro Ozawa
Spun,Jonas ?÷kerlund
Flight of the Butterflies,Mike Slee
This Beautiful Fantastic,Simon Aboud
Henri-Georges Clouzot's Inferno,"Serge Bromberg,Ruxandra Medrea"
The Private Life of Henry VIII,Alexander Korda
The Forbidden Room,"Guy Maddin,Evan Johnson"
Suddenly,Lewis Allen
In the Soup,Alexandre Rockwell
Orphans of the Storm,D.W. Griffith
A Late Quartet,Yaron Zilberman
Inferno,Ron Howard
Frequently Asked Questions About Time Travel,Gareth Carrivick
The Vanishing,Kristoffer Nyholm
Antarctica: A Year on Ice,Anthony Powell
The Ultimate Gift,Michael O. Sajbel
What Have You Done to Solange?,Massimo Dallamano
Things to Come,Mia Hansen-L??ve
Alice Sweet Alice,Alfred Sole
How I Ended This Summer,Aleksey Popogrebskiy
To End All Wars,David L. Cunningham
Lila Says,Ziad Doueiri
Admiral,Roel Rein?©
The Fits,Anna Rose Holmer
The Chant of Jimmie Blacksmith,Fred Schepisi
Keep the Lights On,Ira Sachs
Marjorie Prime,Michael Almereyda
Bunty Aur Babli,Shaad Ali
Fear of a Black Hat,Rusty Cundieff
The Fencer,Klaus H?ßr??
Keep the Change,Rachel Israel
The Shooting,Monte Hellman
Two Hands,Gregor Jordan
The Golden Coach,Jean Renoir
Savior,Predrag Antonijevic
Young Sherlock Holmes,Barry Levinson
Starry Eyes,"Kevin K??lsch,Dennis Widmyer"
Home,Tim Johnson
The Southerner,Jean Renoir
Orchestra Rehearsal,Federico Fellini
Family,
Narco Cultura,Shaul Schwarz
Harmontown,
Baby Boom,Charles Shyer
Oddball,Stuart McDonald
Dr. Jekyll and Mr. Hyde,Rouben Mamoulian
Tiger Zinda Hai,Ali Abbas Zafar
Ill Manors,Plan B
Hollywood Shuffle,Robert Townsend
They Look Like People,Perry Blackshear
American Grindhouse,Elijah Drenner
The Winslow Boy,Anthony Asquith
The Retrieval,Chris Eska
The Comedy of Terrors,Jacques Tourneur
11:55:00,"Ari Issler,Ben Snyder"
Everlasting,Anthony Stabley
Cobra Verde,Werner Herzog
Cutter's Way,Ivan Passer
Sweet Land,Ali Selim
T-Men,Anthony Mann
The Family I Had,"Katie Green,Carlye Rubin"
Twist of Faith,Paul A. Kaufman
Brad's Status,Mike White
Super Inframan,Shan Hua
Trilogy of Terror,Dan Curtis
102 Not Out,Umesh Shukla
Cash Only,Malik Bader
Detainment,Vincent Lambe
Hichki,Siddharth Malhotra
The English Surgeon,Geoffrey Smith
The Dirties,Matt Johnson
Unplanned,"Chuck Konzelman,Cary Solomon"
The Front,Martin Ritt
College,
Never Grow Old,Ivan Kavanagh
Seoul Station,Sang-ho Yeon
Across 110th Street,Barry Shear
Ice Mother,Bohdan Sl?∞ma
Royal Wedding,Stanley Donen
Almost Holy,Steve Hoover
The Assassin,John Badham
Bad Samaritan,Dean Devlin
Stations of the Cross,Dietrich Br?∫ggemann
Eden,Mia Hansen-L??ve
Love on a Leash,Fen Tian
Dreams with Sharp Teeth,Erik Nelson
Little Big Man,Arthur Penn
Jellyfish,James Gardner
Do You Trust this Computer?,Chris Paine
The King of Masks,Tian-Ming Wu
Big Eden,Thomas Bezucha
The Cat o' Nine Tails,Dario Argento
Brimstone,Martin Koolhoven
LFO,Antonio Tublen
Cyrano de Bergerac,Jean-Paul Rappeneau
Rabid,"Jen Soska,Sylvia Soska"
Of Human Bondage,John Cromwell
Kung Fu Jungle,Teddy Chan
Hagazussa,Lukas Feigelfeld
Euthanizer,Teemu Nikki
The Marriage Circle,Ernst Lubitsch
The World Before Your Feet,Jeremy Workman
On Any Sunday,Bruce Brown
In Which We Serve,"No?¥l Coward,David Lean"
The Children Act,Richard Eyre
Convoy,Sam Peckinpah
What Will People Say,Iram Haq
The Exorcist III,William Peter Blatty
Off the Rails,Jules Williamson
Long Weekend,Colin Eggleston
Return of the Hero,Laurent Tirard
Kid Cannabis,John Stockwell
Beauty Is Embarrassing,Neil Berkeley
Blue My Mind,Lisa Br?∫hlmann
The Inspector General,Henry Koster
Animal Factory,Steve Buscemi
Shanghai Triad,Yimou Zhang
Gloria Bell,Sebasti?∞n Lelio
The Prophecy,Gregory Widen
Manufactured Landscapes,Jennifer Baichwal
Cairo 678,Mohamed Diab
The Way of the Gun,Christopher McQuarrie
Soapdish,Michael Hoffman
The Third Murder,Hirokazu Koreeda
Big Fan,Robert Siegel
Night Owls,Charles Hood
Call Me Lucky,Bobcat Goldthwait
Anand,Hrishikesh Mukherjee
The Mule,Clint Eastwood
The Shout,Jerzy Skolimowski
The Dark,Neil Marshall
The Irish Pub,Alex Fegan
Charlie's Country,Rolf de Heer
Autoluminescent: Rowland S. Howard,"Richard Lowenstein,Lynn-Maree Milburn"
Never on Sunday,Jules Dassin
The Gateway,John V. Soto
The Pope's Toilet,"C?©sar Charlone,Enrique Fern?∞ndez"
Hot Summer Nights,Elijah Bynum
Robin Hood,Ridley Scott
Palo Alto,Gia Coppola
Ray Harryhausen: Special Effects Titan,Gilles Penso
The Goldfinch,John Crowley
Park Row,Samuel Fuller
Kundo: Age of the Rampant,Jong-bin Yoon
Book Club,Bill Holderman
King of the Ants,Stuart Gordon
The Opposite of Sex,Don Roos
Hidden Agenda,Ken Loach
The Italian,Andrey Kravchuk
Photograph,Ritesh Batra
Night Comes On,Jordana Spiro
Untold Scandal,
The Hanging Garden,Thom Fitzgerald
Dreamchild,Gavin Millar
Unmistaken Child,Nati Baratz
22 Bullets,Richard Berry
The Scarlet Pimpernel,Clive Donner
The Story of Luke,Alonso Mayo
Lost Angels: Skid Row Is My Home,Thomas Napper
Always Shine,Sophia Takal
Elizabethtown,Cameron Crowe
After the Dark,John Huddles
G.B.F.,Darren Stein
I Spit on Your Grave,Steven R. Monroe
American Gigolo,Paul Schrader
Outfoxed: Rupert Murdoch's War on Journalism,Robert Greenwald
Upside Down: The Creation Records Story,Danny O'Connor
White Zombie,Victor Halperin
Pork Chop Hill,Lewis Milestone
As If I Am Not There,Juanita Wilson
The Special Relationship,Richard Loncraine
Woman on the Run,Norman Foster
Louis C.K.: Shameless,Steven J. Santos
Code Black,
The Departure,Merland Hoxha
We Have Always Lived in the Castle,Stacie Passon
King Corn,Aaron Woolf
People Places Things,Ron Sylvester
Something from Nothing: The Art of Rap,"Ice-T,Andy Baybutt"
The Age of Stupid,Franny Armstrong
Chris & Don: A Love Story,"Tina Mascara,Guido Santi"
Angels Wear White,Vivian Qu
King and Country,Joseph Losey
Mr. Majestyk,Richard Fleischer
Two Night Stand,Max Nichols
The Four Feathers,Shekhar Kapur
The Joneses,Derrick Borte
Top Spin,"Sara Newens,Mina T. Son"
Orange County,
Saturday Church,Damon Cardasis
London River,Rachid Bouchareb
A Vigilante,Sarah Daggar-Nickson
Tumhari Sulu,Suresh Triveni
The Hornet's Nest,"David Salzberg,Christian Tureaud"
A Quiet Passion,Terence Davies
The Trotsky,Jacob Tierney
We Live in Public,Ben Stiller
Accidental Courtesy: Daryl Davis Race & America,Matthew Ornstein
The House That Dripped Blood,Peter Duffell
King Lear,Richard Eyre
The Big Kahuna,John Swanbeck
Bolivia,Israel Adri?∞n Caetano
The Story of Louis Pasteur,William Dieterle
Dressed to Kill,Brian De Palma
Master of the Universe,Marc Bauder
On Chesil Beach,Dominic Cooke
McKellen: Playing the Part,Joe Stephenson
Beauty Mark,Harris Doran
Airplane II: The Sequel,Ken Finkleman
The Lady Vanishes,Alfred Hitchcock
Nuts!,Penny Lane
White Lightning,Joseph Sargent
The Chosen,
North Dallas Forty,Ted Kotcheff
Hawks and Sparrows,Pier Paolo Pasolini
A Bucket of Blood,Roger Corman
Jab We Met,Imtiaz Ali
Funeral in Berlin,Guy Hamilton
Mid-August Lunch,Gianni Di Gregorio
Crush the Skull,Viet Nguyen
Puncture,"Adam Kassen,Mark Kassen"
The Light of the Moon,Jessica M. Thompson
Destination Wedding,Victor Levin
